day	month	year	date	weekday
23	2	2001	2001-02-23	4
8	3	2001	2001-03-08	3
1	5	2001	2001-05-01	1
9	5	2001	2001-05-09	2
12	6	2001	2001-06-12	1
12	12	2001	2001-12-12	2
1	1	2002	2002-01-01	1
2	1	2002	2002-01-02	2
7	1	2002	2002-01-07	0
25	2	2002	2002-02-25	0
8	3	2002	2002-03-08	4
1	5	2002	2002-05-01	2
9	5	2002	2002-05-09	3
12	6	2002	2002-06-12	2
12	12	2002	2002-12-12	3
1	1	2003	2003-01-01	2
2	1	2003	2003-01-02	3
7	1	2003	2003-01-07	1
24	2	2003	2003-02-24	0
10	3	2003	2003-03-10	0
1	5	2003	2003-05-01	3
9	5	2003	2003-05-09	4
12	6	2003	2003-06-12	3
12	12	2003	2003-12-12	4
1	1	2004	2004-01-01	3
2	1	2004	2004-01-02	4
7	1	2004	2004-01-07	2
23	2	2004	2004-02-23	0
8	3	2004	2004-03-08	0
3	5	2004	2004-05-03	0
10	5	2004	2004-05-10	0
14	6	2004	2004-06-14	0
3	1	2005	2005-01-03	0
4	1	2005	2005-01-04	1
5	1	2005	2005-01-05	2
6	1	2005	2005-01-06	3
7	1	2005	2005-01-07	4
10	1	2005	2005-01-10	0
11	1	2005	2005-01-11	1
12	1	2005	2005-01-12	2
23	2	2005	2005-02-23	2
8	3	2005	2005-03-08	1
2	5	2005	2005-05-02	0
9	5	2005	2005-05-09	0
13	6	2005	2005-06-13	0
4	11	2005	2005-11-04	4
2	1	2006	2006-01-02	0
3	1	2006	2006-01-03	1
4	1	2006	2006-01-04	2
5	1	2006	2006-01-05	3
6	1	2006	2006-01-06	4
9	1	2006	2006-01-09	0
10	1	2006	2006-01-10	1
11	1	2006	2006-01-11	2
23	2	2006	2006-02-23	3
8	3	2006	2006-03-08	2
1	5	2006	2006-05-01	0
9	5	2006	2006-05-09	1
12	6	2006	2006-06-12	0
6	11	2006	2006-11-06	0
1	1	2007	2007-01-01	0
2	1	2007	2007-01-02	1
3	1	2007	2007-01-03	2
4	1	2007	2007-01-04	3
5	1	2007	2007-01-05	4
8	1	2007	2007-01-08	0
9	1	2007	2007-01-09	1
10	1	2007	2007-01-10	2
23	2	2007	2007-02-23	4
8	3	2007	2007-03-08	3
1	5	2007	2007-05-01	1
9	5	2007	2007-05-09	2
12	6	2007	2007-06-12	1
5	11	2007	2007-11-05	0
1	1	2008	2008-01-01	1
2	1	2008	2008-01-02	2
3	1	2008	2008-01-03	3
4	1	2008	2008-01-04	4
7	1	2008	2008-01-07	0
8	1	2008	2008-01-08	1
9	1	2008	2008-01-09	2
10	1	2008	2008-01-10	3
25	2	2008	2008-02-25	0
10	3	2008	2008-03-10	0
1	5	2008	2008-05-01	3
9	5	2008	2008-05-09	4
12	6	2008	2008-06-12	3
4	11	2008	2008-11-04	1
1	1	2009	2009-01-01	3
2	1	2009	2009-01-02	4
5	1	2009	2009-01-05	0
6	1	2009	2009-01-06	1
7	1	2009	2009-01-07	2
8	1	2009	2009-01-08	3
9	1	2009	2009-01-09	4
12	1	2009	2009-01-12	0
23	2	2009	2009-02-23	0
9	3	2009	2009-03-09	0
1	5	2009	2009-05-01	4
11	5	2009	2009-05-11	0
12	6	2009	2009-06-12	4
4	11	2009	2009-11-04	2
1	1	2010	2010-01-01	4
4	1	2010	2010-01-04	0
5	1	2010	2010-01-05	1
6	1	2010	2010-01-06	2
7	1	2010	2010-01-07	3
8	1	2010	2010-01-08	4
11	1	2010	2010-01-11	0
12	1	2010	2010-01-12	1
23	2	2010	2010-02-23	1
8	3	2010	2010-03-08	0
3	5	2010	2010-05-03	0
10	5	2010	2010-05-10	0
14	6	2010	2010-06-14	0
4	11	2010	2010-11-04	3
3	1	2011	2011-01-03	0
4	1	2011	2011-01-04	1
5	1	2011	2011-01-05	2
6	1	2011	2011-01-06	3
7	1	2011	2011-01-07	4
10	1	2011	2011-01-10	0
11	1	2011	2011-01-11	1
12	1	2011	2011-01-12	2
23	2	2011	2011-02-23	2
8	3	2011	2011-03-08	1
2	5	2011	2011-05-02	0
9	5	2011	2011-05-09	0
13	6	2011	2011-06-13	0
4	11	2011	2011-11-04	4
2	1	2012	2012-01-02	0
3	1	2012	2012-01-03	1
4	1	2012	2012-01-04	2
5	1	2012	2012-01-05	3
6	1	2012	2012-01-06	4
9	1	2012	2012-01-09	0
10	1	2012	2012-01-10	1
11	1	2012	2012-01-11	2
23	2	2012	2012-02-23	3
8	3	2012	2012-03-08	3
1	5	2012	2012-05-01	1
9	5	2012	2012-05-09	2
12	6	2012	2012-06-12	1
5	11	2012	2012-11-05	0
1	1	2013	2013-01-01	1
2	1	2013	2013-01-02	2
3	1	2013	2013-01-03	3
4	1	2013	2013-01-04	4
7	1	2013	2013-01-07	0
8	1	2013	2013-01-08	1
9	1	2013	2013-01-09	2
10	1	2013	2013-01-10	3
25	2	2013	2013-02-25	0
8	3	2013	2013-03-08	4
1	5	2013	2013-05-01	2
9	5	2013	2013-05-09	3
12	6	2013	2013-06-12	2
4	11	2013	2013-11-04	0
1	1	2014	2014-01-01	2
2	1	2014	2014-01-02	3
3	1	2014	2014-01-03	4
6	1	2014	2014-01-06	0
7	1	2014	2014-01-07	1
8	1	2014	2014-01-08	2
9	1	2014	2014-01-09	3
10	1	2014	2014-01-10	4
24	2	2014	2014-02-24	0
10	3	2014	2014-03-10	0
1	5	2014	2014-05-01	3
9	5	2014	2014-05-09	4
12	6	2014	2014-06-12	3
4	11	2014	2014-11-04	1
1	1	2015	2015-01-01	3
2	1	2015	2015-01-02	4
5	1	2015	2015-01-05	0
6	1	2015	2015-01-06	1
7	1	2015	2015-01-07	2
8	1	2015	2015-01-08	3
9	1	2015	2015-01-09	4
23	2	2015	2015-02-23	0
9	3	2015	2015-03-09	0
1	5	2015	2015-05-01	4
4	5	2015	2015-05-04	0
11	5	2015	2015-05-11	0
12	6	2015	2015-06-12	4
4	11	2015	2015-11-04	2
1	1	2016	2016-01-01	4
4	1	2016	2016-01-04	0
5	1	2016	2016-01-05	1
6	1	2016	2016-01-06	2
7	1	2016	2016-01-07	3
8	1	2016	2016-01-08	4
22	2	2016	2016-02-22	0
23	2	2016	2016-02-23	1
7	3	2016	2016-03-07	0
8	3	2016	2016-03-08	1
2	5	2016	2016-05-02	0
3	5	2016	2016-05-03	1
9	5	2016	2016-05-09	0
13	6	2016	2016-06-13	0
4	11	2016	2016-11-04	4
2	1	2017	2017-01-02	0
3	1	2017	2017-01-03	1
4	1	2017	2017-01-04	2
5	1	2017	2017-01-05	3
6	1	2017	2017-01-06	4
23	2	2017	2017-02-23	3
24	2	2017	2017-02-24	4
8	3	2017	2017-03-08	2
1	5	2017	2017-05-01	0
8	5	2017	2017-05-08	0
9	5	2017	2017-05-09	1
12	6	2017	2017-06-12	0
6	11	2017	2017-11-06	0
1	1	2018	2018-01-01	0
2	1	2018	2018-01-02	1
3	1	2018	2018-01-03	2
4	1	2018	2018-01-04	3
5	1	2018	2018-01-05	4
8	1	2018	2018-01-08	0
23	2	2018	2018-02-23	4
8	3	2018	2018-03-08	3
9	3	2018	2018-03-09	4
30	4	2018	2018-04-30	0
1	5	2018	2018-05-01	1
2	5	2018	2018-05-02	2
9	5	2018	2018-05-09	2
11	6	2018	2018-06-11	0
12	6	2018	2018-06-12	1
5	11	2018	2018-11-05	0
31	12	2018	2018-12-31	0
1	1	2019	2019-01-01	1
2	1	2019	2019-01-02	2
3	1	2019	2019-01-03	3
4	1	2019	2019-01-04	4
7	1	2019	2019-01-07	0
8	1	2019	2019-01-08	1
8	3	2019	2019-03-08	4
1	5	2019	2019-05-01	2
2	5	2019	2019-05-02	3
3	5	2019	2019-05-03	4
9	5	2019	2019-05-09	3
10	5	2019	2019-05-10	4
12	6	2019	2019-06-12	2
4	11	2019	2019-11-04	0
1	1	2020	2020-01-01	2
2	1	2020	2020-01-02	3
3	1	2020	2020-01-03	4
6	1	2020	2020-01-06	0
7	1	2020	2020-01-07	1
8	1	2020	2020-01-08	2
24	2	2020	2020-02-24	0
9	3	2020	2020-03-09	0
30	3	2020	2020-03-30	0
31	3	2020	2020-03-31	1
1	4	2020	2020-04-01	2
2	4	2020	2020-04-02	3
3	4	2020	2020-04-03	4
4	4	2020	2020-04-04	5
5	4	2020	2020-04-05	6
6	4	2020	2020-04-06	0
7	4	2020	2020-04-07	1
8	4	2020	2020-04-08	2
9	4	2020	2020-04-09	3
10	4	2020	2020-04-10	4
11	4	2020	2020-04-11	5
12	4	2020	2020-04-12	6
13	4	2020	2020-04-13	0
14	4	2020	2020-04-14	1
15	4	2020	2020-04-15	2
16	4	2020	2020-04-16	3
17	4	2020	2020-04-17	4
18	4	2020	2020-04-18	5
19	4	2020	2020-04-19	6
20	4	2020	2020-04-20	0
21	4	2020	2020-04-21	1
22	4	2020	2020-04-22	2
23	4	2020	2020-04-23	3
24	4	2020	2020-04-24	4
25	4	2020	2020-04-25	5
26	4	2020	2020-04-26	6
27	4	2020	2020-04-27	0
28	4	2020	2020-04-28	1
29	4	2020	2020-04-29	2
30	4	2020	2020-04-30	3
1	5	2020	2020-05-01	4
4	5	2020	2020-05-04	0
5	5	2020	2020-05-05	1
6	5	2020	2020-05-06	2
7	5	2020	2020-05-07	3
8	5	2020	2020-05-08	4
11	5	2020	2020-05-11	0
12	6	2020	2020-06-12	4
4	11	2020	2020-11-04	2
1	1	2021	2021-01-01	4
4	1	2021	2021-01-04	0
5	1	2021	2021-01-05	1
6	1	2021	2021-01-06	2
7	1	2021	2021-01-07	3
8	1	2021	2021-01-08	4
11	1	2021	2021-01-11	0
12	1	2021	2021-01-12	1
23	2	2021	2021-02-23	1
8	3	2021	2021-03-08	0
3	5	2021	2021-05-03	0
4	5	2021	2021-05-04	1
5	5	2021	2021-05-05	2
6	5	2021	2021-05-06	3
7	5	2021	2021-05-07	4
10	5	2021	2021-05-10	0
14	6	2021	2021-06-14	0
4	11	2021	2021-11-04	3
3	1	2022	2022-01-03	0
4	1	2022	2022-01-04	1
5	1	2022	2022-01-05	2
6	1	2022	2022-01-06	3
7	1	2022	2022-01-07	4
23	2	2022	2022-02-23	2
7	3	2022	2022-03-07	0
8	3	2022	2022-03-08	1
2	5	2022	2022-05-02	0
3	5	2022	2022-05-03	1
9	5	2022	2022-05-09	0
10	5	2022	2022-05-10	1
13	6	2022	2022-06-13	0
4	11	2022	2022-11-04	4
2	1	2023	2023-01-02	0
3	1	2023	2023-01-03	1
4	1	2023	2023-01-04	2
5	1	2023	2023-01-05	3
6	1	2023	2023-01-06	4
23	2	2023	2023-02-23	3
24	2	2023	2023-02-24	4
8	3	2023	2023-03-08	2
1	5	2023	2023-05-01	0
8	5	2023	2023-05-08	0
9	5	2023	2023-05-09	1
12	6	2023	2023-06-12	0
6	11	2023	2023-11-06	0
1	1	2024	2024-01-01	0
2	1	2024	2024-01-02	1
3	1	2024	2024-01-03	2
4	1	2024	2024-01-04	3
5	1	2024	2024-01-05	4
8	1	2024	2024-01-08	0
23	2	2024	2024-02-23	4
8	3	2024	2024-03-08	4
29	4	2024	2024-04-29	0
30	4	2024	2024-04-30	1
1	5	2024	2024-05-01	2
9	5	2024	2024-05-09	3
10	5	2024	2024-05-10	4
12	6	2024	2024-06-12	2
4	11	2024	2024-11-04	0
30	12	2024	2024-12-30	0
31	12	2024	2024-12-31	1
1	1	2025	2025-01-01	2
2	1	2025	2025-01-02	3
3	1	2025	2025-01-03	4
6	1	2025	2025-01-06	0
7	1	2025	2025-01-07	1
24	2	2025	2025-02-24	0
10	3	2025	2025-03-10	0
1	5	2025	2025-05-01	3
2	5	2025	2025-05-02	4
9	5	2025	2025-05-09	4
12	6	2025	2025-06-12	3
13	6	2025	2025-06-13	4
4	11	2025	2025-11-04	1
1	1	2026	2026-01-01	3
2	1	2026	2026-01-02	4
5	1	2026	2026-01-05	0
6	1	2026	2026-01-06	1
7	1	2026	2026-01-07	2
8	1	2026	2026-01-08	3
23	2	2026	2026-02-23	0
1	5	2026	2026-05-01	4
12	6	2026	2026-06-12	4
4	11	2026	2026-11-04	2
